Site,APs,Clients,AP Health,Capacity,Coverage,Roaming,Successful Connect,Throughput,Time to Connect
HGH,13,133,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""100%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""98%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""87%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""93%""},""_owner"":null}"
TLV,3,2,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity fair"",""children"":""67%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""94%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""97%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}"
LON,21,29,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""95%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""87%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""100%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}"
CDG,14,23,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""100%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""97%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""98%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""95%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""98%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}"
DEN,69,159,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""98%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""98%""},""_owner"":null}"
CLT,28,55,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""100%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""97%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""95%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""98%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}"
BMT,74,280,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""98%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""97%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""97%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""99%""},""_owner"":null}"
XMN,55,666,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""95%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""95%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""86%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""90%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""> 99%""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity good"",""children"":""96%""},""_owner"":null}"
Spare Unused Access Points,,,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}"
Network Team Test,,,"{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}","{""type"":""div"",""key"":null,""ref"":null,""props"":{""className"":""severity null"",""children"":""--""},""_owner"":null}"
